date	status	zdf_url	returned_date	title
22.05.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-22-mai-2025-100	20250522	Der Talk vom 22. Mai
27.05.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-27-mai-2025-100	20250527	Der Talk vom 27. Mai
28.05.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-28-mai-2025-100	20250528	Der Talk vom 28. Mai
29.05.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-29-mai-2025-100	20250529	Der Talk vom 29. Mai
03.06.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-3-juni-2025-100	20250603	Der Talk vom 3. Juni 
10.06.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-10-juni-2025-100	20250610	Der Talk vom 10. Juni 
11.06.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-11-juni-2025-100	20250611	Der Talk vom 11. Juni
26.06.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-26-juni-2025-100	20250626	Der Talk vom 26. Juni
08.07.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-8-juli-2025-100	20250708	Der Talk vom 8. Juli
09.07.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-9-juli-2025-100	20250709	Der Talk vom 9. Juli
10.07.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-10-juli-2025-100	20250710	Der Talk vom 10. Juli
15.07.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-15-juli-2025-100	20250715	Der Talk vom 15. Juli
17.07.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-17-juli-2025-100	20250717	Der Talk vom 17. Juli
23.07.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-23-juli-2025-100	20250723	Der Talk vom 23. Juli 
24.07.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-24-juli-2025-100	20250724	Der Talk vom 24. Juli
27.08.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-27-august-2025-100	20250827	Der Talk vom 27. August
02.09.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-2-september-2025-100	20250902	Der Talk vom 2. September
03.09.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-3-september-2025-100	20250903	Der Talk vom 3. September
10.09.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-10-september-2025-100	20250910	Der Talk vom 10. September
17.09.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-17-september-2025-100	20250917	Der Talk vom 17. September
23.09.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-23-september-2025-100	20250923	Der Talk vom 23. September
24.09.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-24-september-2025-100	20250924	Der Talk vom 24. September
